"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","1038.15","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","1064.90","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","1100.28","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","1154.73","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Females","55 years and over","Current dollars","75","units","0","v1063665274","7.3.2.1.3.4","1187.72","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","55 years and over","Current dollars","75","units","0","v1063665286","7.3.2.2.3.4","1742.09","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","55 years and over","Current dollars","75","units","0","v1063665286","7.3.2.2.3.4","1736.42","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","55 years and over","Current dollars","75","units","0","v1063665286","7.3.2.2.3.4","1993.95","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","55 years and over","Current dollars","75","units","0","v1063665286","7.3.2.2.3.4","1944.97","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Females","55 years and over","Current dollars","75","units","0","v1063665286","7.3.2.2.3.4","1978.56","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","55 years and over","Current dollars","75","units","0","v1063665298","7.3.2.3.3.4","2205.96","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","55 years and over","Current dollars","75","units","0","v1063665298","7.3.2.3.3.4","1799.78","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","55 years and over","Current dollars","75","units","0","v1063665298","7.3.2.3.3.4","1871.17","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","55 years and over","Current dollars","75","units","0","v1063665298","7.3.2.3.3.4","2584.12","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Females","55 years and over","Current dollars","75","units","0","v1063665298","7.3.2.3.3.4","2205.80","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","55 years and over","Current dollars","75","units","0","v1063665310","7.3.2.4.3.4","1792.80","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","55 years and over","Current dollars","75","units","0","v1063665310","7.3.2.4.3.4","1794.91","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","55 years and over","Current dollars","75","units","0","v1063665310","7.3.2.4.3.4","2058.77","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","55 years and over","Current dollars","75","units","0","v1063665310","7.3.2.4.3.4","1939.39","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Females","55 years and over","Current dollars","75","units","0","v1063665310","7.3.2.4.3.4","2093.00","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","55 years and over","Current dollars","75","units","0","v1063665322","7.3.2.5.3.4","1124.57","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","55 years and over","Current dollars","75","units","0","v1063665322","7.3.2.5.3.4","1399.68","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","55 years and over","Current dollars","75","units","0","v1063665322","7.3.2.5.3.4","1820.15","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","55 years and over","Current dollars","75","units","0","v1063665322","7.3.2.5.3.4","1914.30","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","55 years and over","Current dollars","75","units","0","v1063665322","7.3.2.5.3.4","1633.40","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","55 years and over","Current dollars","75","units","0","v1063665334","7.3.2.6.3.4","1526.70","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","55 years and over","Current dollars","75","units","0","v1063665334","7.3.2.6.3.4","1656.86","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","55 years and over","Current dollars","75","units","0","v1063665334","7.3.2.6.3.4","1596.12","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","55 years and over","Current dollars","75","units","0","v1063665334","7.3.2.6.3.4","1502.55","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","55 years and over","Current dollars","75","units","0","v1063665334","7.3.2.6.3.4","1703.54","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Business, finance and administration occupations [1]","Females","55 years and over","Current dollars","75","units","0","v1063665346","7.3.2.7.3.4","991.55","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Business, finance and administration occupations [1]","Females","55 years and over","Current dollars","75","units","0","v1063665346","7.3.2.7.3.4","1031.98","","","","2"
