year,province,product_groups,CPI
1996,Ontario,All-items,88.2
1997,Ontario,All-items,89.8
1998,Ontario,All-items,90.6
1999,Ontario,All-items,92.4
2000,Ontario,All-items,95.1
2001,Ontario,All-items,98.0
2002,Ontario,All-items,100.0
2003,Ontario,All-items,102.7
2004,Ontario,All-items,104.6
2005,Ontario,All-items,106.9
2006,Ontario,All-items,108.8
2007,Ontario,All-items,110.8
2008,Ontario,All-items,113.3
2009,Ontario,All-items,113.7
2010,Ontario,All-items,116.5
2011,Ontario,All-items,120.1
2012,Ontario,All-items,121.8
2013,Ontario,All-items,123.0
2014,Ontario,All-items,125.9
2015,Ontario,All-items,127.4
2016,Ontario,All-items,129.7
2017,Ontario,All-items,131.9
2018,Ontario,All-items,135.0
2019,Ontario,All-items,137.5
2020,Ontario,All-items,138.4
1996,Ontario,Food,88.3
1997,Ontario,Food,88.6
1998,Ontario,Food,89.9
1999,Ontario,Food,91.5
2000,Ontario,Food,92.8
2001,Ontario,Food,97.0
2002,Ontario,Food,100.0
2003,Ontario,Food,101.6
2004,Ontario,Food,103.6
2005,Ontario,Food,106.7
2006,Ontario,Food,109.0
2007,Ontario,Food,111.8
2008,Ontario,Food,116.0
2009,Ontario,Food,121.4
2010,Ontario,Food,123.2
2011,Ontario,Food,128.1
2012,Ontario,Food,131.0
2013,Ontario,Food,132.9
2014,Ontario,Food,136.2
2015,Ontario,Food,141.2
2016,Ontario,Food,143.5
2017,Ontario,Food,143.3
2018,Ontario,Food,147.4
2019,Ontario,Food,152.6
2020,Ontario,Food,155.5
1996,Ontario,Shelter,88.7
1997,Ontario,Shelter,88.8
1998,Ontario,Shelter,89.4
1999,Ontario,Shelter,90.7
2000,Ontario,Shelter,93.9
2001,Ontario,Shelter,99.0
2002,Ontario,Shelter,100.0
2003,Ontario,Shelter,102.8
2004,Ontario,Shelter,105.6
2005,Ontario,Shelter,109.0
2006,Ontario,Shelter,112.5
2007,Ontario,Shelter,114.4
2008,Ontario,Shelter,118.4
2009,Ontario,Shelter,118.6
2010,Ontario,Shelter,121.3
2011,Ontario,Shelter,123.1
2012,Ontario,Shelter,125.0
2013,Ontario,Shelter,126.9
2014,Ontario,Shelter,131.5
2015,Ontario,Shelter,134.5
2016,Ontario,Shelter,138.1
2017,Ontario,Shelter,140.4
2018,Ontario,Shelter,142.7
2019,Ontario,Shelter,147.0
2020,Ontario,Shelter,150.1
1996,Ontario,"Household operations, furnishings and equipment",93.6
1997,Ontario,"Household operations, furnishings and equipment",94.8
1998,Ontario,"Household operations, furnishings and equipment",95.2
1999,Ontario,"Household operations, furnishings and equipment",95.2
2000,Ontario,"Household operations, furnishings and equipment",96.4
2001,Ontario,"Household operations, furnishings and equipment",98.6
2002,Ontario,"Household operations, furnishings and equipment",100.0
2003,Ontario,"Household operations, furnishings and equipment",101.0
2004,Ontario,"Household operations, furnishings and equipment",101.5
2005,Ontario,"Household operations, furnishings and equipment",101.7
2006,Ontario,"Household operations, furnishings and equipment",102.0
2007,Ontario,"Household operations, furnishings and equipment",103.3
2008,Ontario,"Household operations, furnishings and equipment",105.0
2009,Ontario,"Household operations, furnishings and equipment",107.2
2010,Ontario,"Household operations, furnishings and equipment",109.5
2011,Ontario,"Household operations, furnishings and equipment",111.9
2012,Ontario,"Household operations, furnishings and equipment",113.9
2013,Ontario,"Household operations, furnishings and equipment",115.4
2014,Ontario,"Household operations, furnishings and equipment",117.8
2015,Ontario,"Household operations, furnishings and equipment",121.5
2016,Ontario,"Household operations, furnishings and equipment",123.3
2017,Ontario,"Household operations, furnishings and equipment",124.0
2018,Ontario,"Household operations, furnishings and equipment",125.8
2019,Ontario,"Household operations, furnishings and equipment",125.3
2020,Ontario,"Household operations, furnishings and equipment",125.4
1996,Ontario,Clothing and footwear,98.5
1997,Ontario,Clothing and footwear,99.5
1998,Ontario,Clothing and footwear,100.0
1999,Ontario,Clothing and footwear,101.7
2000,Ontario,Clothing and footwear,102.2
2001,Ontario,Clothing and footwear,101.8
2002,Ontario,Clothing and footwear,100.0
2003,Ontario,Clothing and footwear,97.7
2004,Ontario,Clothing and footwear,98.0
2005,Ontario,Clothing and footwear,96.2
2006,Ontario,Clothing and footwear,93.2
2007,Ontario,Clothing and footwear,93.5
2008,Ontario,Clothing and footwear,92.2
2009,Ontario,Clothing and footwear,92.0
2010,Ontario,Clothing and footwear,90.7
2011,Ontario,Clothing and footwear,91.6
2012,Ontario,Clothing and footwear,89.8
2013,Ontario,Clothing and footwear,88.9
2014,Ontario,Clothing and footwear,91.7
2015,Ontario,Clothing and footwear,92.2
2016,Ontario,Clothing and footwear,92.0
2017,Ontario,Clothing and footwear,89.9
2018,Ontario,Clothing and footwear,90.4
2019,Ontario,Clothing and footwear,91.9
2020,Ontario,Clothing and footwear,90.3
1996,Ontario,Transportation,86.7
1997,Ontario,Transportation,91.1
1998,Ontario,Transportation,90.5
1999,Ontario,Transportation,93.4
2000,Ontario,Transportation,98.0
2001,Ontario,Transportation,97.8
2002,Ontario,Transportation,100.0
2003,Ontario,Transportation,105.9
2004,Ontario,Transportation,107.8
2005,Ontario,Transportation,112.1
2006,Ontario,Transportation,114.9
2007,Ontario,Transportation,117.2
2008,Ontario,Transportation,119.6
2009,Ontario,Transportation,113.9
2010,Ontario,Transportation,120.1
2011,Ontario,Transportation,128.8
2012,Ontario,Transportation,130.7
2013,Ontario,Transportation,131.7
2014,Ontario,Transportation,132.6
2015,Ontario,Transportation,127.1
2016,Ontario,Transportation,128.4
2017,Ontario,Transportation,134.0
2018,Ontario,Transportation,139.8
2019,Ontario,Transportation,142.1
2020,Ontario,Transportation,141.9
1996,Ontario,Gasoline,84.3
1997,Ontario,Gasoline,85.3
1998,Ontario,Gasoline,78.0
1999,Ontario,Gasoline,85.4
2000,Ontario,Gasoline,104.7
2001,Ontario,Gasoline,100.8
2002,Ontario,Gasoline,100.0
2003,Ontario,Gasoline,105.5
2004,Ontario,Gasoline,115.5
2005,Ontario,Gasoline,131.0
2006,Ontario,Gasoline,137.2
2007,Ontario,Gasoline,144.1
2008,Ontario,Gasoline,162.5
2009,Ontario,Gasoline,134.5
2010,Ontario,Gasoline,149.3
2011,Ontario,Gasoline,181.9
2012,Ontario,Gasoline,185.0
2013,Ontario,Gasoline,186.4
2014,Ontario,Gasoline,187.3
2015,Ontario,Gasoline,153.8
2016,Ontario,Gasoline,145.3
2017,Ontario,Gasoline,164.6
2018,Ontario,Gasoline,182.9
2019,Ontario,Gasoline,170.2
2020,Ontario,Gasoline,146.4
1996,Ontario,Health and personal care,90.3
1997,Ontario,Health and personal care,92.3
1998,Ontario,Health and personal care,94.1
1999,Ontario,Health and personal care,95.7
2000,Ontario,Health and personal care,96.8
2001,Ontario,Health and personal care,98.9
2002,Ontario,Health and personal care,100.0
2003,Ontario,Health and personal care,101.2
2004,Ontario,Health and personal care,102.3
2005,Ontario,Health and personal care,104.3
2006,Ontario,Health and personal care,105.8
2007,Ontario,Health and personal care,107.3
2008,Ontario,Health and personal care,109.2
2009,Ontario,Health and personal care,111.9
2010,Ontario,Health and personal care,115.1
2011,Ontario,Health and personal care,117.6
2012,Ontario,Health and personal care,118.7
2013,Ontario,Health and personal care,118.8
2014,Ontario,Health and personal care,120.0
2015,Ontario,Health and personal care,121.9
2016,Ontario,Health and personal care,123.4
2017,Ontario,Health and personal care,125.8
2018,Ontario,Health and personal care,128.0
2019,Ontario,Health and personal care,128.8
2020,Ontario,Health and personal care,129.6
1996,Ontario,"Recreation, education and reading",84.6
