year,province,wage_frequency,noc,gender,age_group,weekly_wage
2017,Ontario,Average weekly wage rate,"Total employees, all occupations",Males,25 to 54 years,1250.33
2018,Ontario,Average weekly wage rate,"Total employees, all occupations",Males,25 to 54 years,1283.03
2019,Ontario,Average weekly wage rate,"Total employees, all occupations",Males,25 to 54 years,1314.85
2020,Ontario,Average weekly wage rate,"Total employees, all occupations",Males,25 to 54 years,1388.65
2021,Ontario,Average weekly wage rate,"Total employees, all occupations",Males,25 to 54 years,1427.36
2017,Ontario,Average weekly wage rate,Management occupations [0],Males,25 to 54 years,1844.4
2018,Ontario,Average weekly wage rate,Management occupations [0],Males,25 to 54 years,1894.62
2019,Ontario,Average weekly wage rate,Management occupations [0],Males,25 to 54 years,1944.99
2020,Ontario,Average weekly wage rate,Management occupations [0],Males,25 to 54 years,1997.75
2021,Ontario,Average weekly wage rate,Management occupations [0],Males,25 to 54 years,2127.06
2017,Ontario,Average weekly wage rate,Senior management occupations [00],Males,25 to 54 years,2172.79
2018,Ontario,Average weekly wage rate,Senior management occupations [00],Males,25 to 54 years,2392.81
2019,Ontario,Average weekly wage rate,Senior management occupations [00],Males,25 to 54 years,2580.65
2020,Ontario,Average weekly wage rate,Senior management occupations [00],Males,25 to 54 years,2655.12
2021,Ontario,Average weekly wage rate,Senior management occupations [00],Males,25 to 54 years,2621.0
2017,Ontario,Average weekly wage rate,Specialized middle management occupations [01-05],Males,25 to 54 years,1933.63
2018,Ontario,Average weekly wage rate,Specialized middle management occupations [01-05],Males,25 to 54 years,1984.45
2019,Ontario,Average weekly wage rate,Specialized middle management occupations [01-05],Males,25 to 54 years,1977.35
2020,Ontario,Average weekly wage rate,Specialized middle management occupations [01-05],Males,25 to 54 years,2109.54
2021,Ontario,Average weekly wage rate,Specialized middle management occupations [01-05],Males,25 to 54 years,2241.37
2017,Ontario,Average weekly wage rate,Middle management occupations in retail and wholesale trade and customer services [06],Males,25 to 54 years,1585.24
2018,Ontario,Average weekly wage rate,Middle management occupations in retail and wholesale trade and customer services [06],Males,25 to 54 years,1637.39
2019,Ontario,Average weekly wage rate,Middle management occupations in retail and wholesale trade and customer services [06],Males,25 to 54 years,1732.38
2020,Ontario,Average weekly wage rate,Middle management occupations in retail and wholesale trade and customer services [06],Males,25 to 54 years,1707.31
2021,Ontario,Average weekly wage rate,Middle management occupations in retail and wholesale trade and customer services [06],Males,25 to 54 years,1822.47
2017,Ontario,Average weekly wage rate,"Middle management occupations in trades, transportation, production and utilities [07-09]",Males,25 to 54 years,1727.56
2018,Ontario,Average weekly wage rate,"Middle management occupations in trades, transportation, production and utilities [07-09]",Males,25 to 54 years,1765.29
2019,Ontario,Average weekly wage rate,"Middle management occupations in trades, transportation, production and utilities [07-09]",Males,25 to 54 years,1910.1
2020,Ontario,Average weekly wage rate,"Middle management occupations in trades, transportation, production and utilities [07-09]",Males,25 to 54 years,1776.72
2021,Ontario,Average weekly wage rate,"Middle management occupations in trades, transportation, production and utilities [07-09]",Males,25 to 54 years,1987.85
2017,Ontario,Average weekly wage rate,"Business, finance and administration occupations [1]",Males,25 to 54 years,1219.93
2018,Ontario,Average weekly wage rate,"Business, finance and administration occupations [1]",Males,25 to 54 years,1248.2
2019,Ontario,Average weekly wage rate,"Business, finance and administration occupations [1]",Males,25 to 54 years,1299.08
2020,Ontario,Average weekly wage rate,"Business, finance and administration occupations [1]",Males,25 to 54 years,1399.44
2021,Ontario,Average weekly wage rate,"Business, finance and administration occupations [1]",Males,25 to 54 years,1412.19
2017,Ontario,Average weekly wage rate,Professional occupations in business and finance [11],Males,25 to 54 years,1520.46
2018,Ontario,Average weekly wage rate,Professional occupations in business and finance [11],Males,25 to 54 years,1583.52
2019,Ontario,Average weekly wage rate,Professional occupations in business and finance [11],Males,25 to 54 years,1568.12
2020,Ontario,Average weekly wage rate,Professional occupations in business and finance [11],Males,25 to 54 years,1730.33
2021,Ontario,Average weekly wage rate,Professional occupations in business and finance [11],Males,25 to 54 years,1711.39
2017,Ontario,Average weekly wage rate,Administrative and financial supervisors and administrative occupations [12],Males,25 to 54 years,1121.54
2018,Ontario,Average weekly wage rate,Administrative and financial supervisors and administrative occupations [12],Males,25 to 54 years,1196.42
2019,Ontario,Average weekly wage rate,Administrative and financial supervisors and administrative occupations [12],Males,25 to 54 years,1223.8
2020,Ontario,Average weekly wage rate,Administrative and financial supervisors and administrative occupations [12],Males,25 to 54 years,1258.26
2021,Ontario,Average weekly wage rate,Administrative and financial supervisors and administrative occupations [12],Males,25 to 54 years,1310.51
2017,Ontario,Average weekly wage rate,"Finance, insurance and related business administrative occupations [13]",Males,25 to 54 years,1174.87
2018,Ontario,Average weekly wage rate,"Finance, insurance and related business administrative occupations [13]",Males,25 to 54 years,1122.54
2019,Ontario,Average weekly wage rate,"Finance, insurance and related business administrative occupations [13]",Males,25 to 54 years,1194.08
2020,Ontario,Average weekly wage rate,"Finance, insurance and related business administrative occupations [13]",Males,25 to 54 years,1279.38
2021,Ontario,Average weekly wage rate,"Finance, insurance and related business administrative occupations [13]",Males,25 to 54 years,1333.46
2017,Ontario,Average weekly wage rate,Office support occupations [14],Males,25 to 54 years,923.6
2018,Ontario,Average weekly wage rate,Office support occupations [14],Males,25 to 54 years,985.45
2019,Ontario,Average weekly wage rate,Office support occupations [14],Males,25 to 54 years,972.05
2020,Ontario,Average weekly wage rate,Office support occupations [14],Males,25 to 54 years,986.91
2021,Ontario,Average weekly wage rate,Office support occupations [14],Males,25 to 54 years,972.35
2017,Ontario,Average weekly wage rate,"Distribution, tracking and scheduling co-ordination occupations [15]",Males,25 to 54 years,926.24
2018,Ontario,Average weekly wage rate,"Distribution, tracking and scheduling co-ordination occupations [15]",Males,25 to 54 years,868.86
2019,Ontario,Average weekly wage rate,"Distribution, tracking and scheduling co-ordination occupations [15]",Males,25 to 54 years,907.0
2020,Ontario,Average weekly wage rate,"Distribution, tracking and scheduling co-ordination occupations [15]",Males,25 to 54 years,904.99
2021,Ontario,Average weekly wage rate,"Distribution, tracking and scheduling co-ordination occupations [15]",Males,25 to 54 years,985.68
2017,Ontario,Average weekly wage rate,Natural and applied sciences and related occupations [2],Males,25 to 54 years,1498.35
2018,Ontario,Average weekly wage rate,Natural and applied sciences and related occupations [2],Males,25 to 54 years,1525.13
2019,Ontario,Average weekly wage rate,Natural and applied sciences and related occupations [2],Males,25 to 54 years,1566.44
2020,Ontario,Average weekly wage rate,Natural and applied sciences and related occupations [2],Males,25 to 54 years,1609.0
2021,Ontario,Average weekly wage rate,Natural and applied sciences and related occupations [2],Males,25 to 54 years,1675.79
2017,Ontario,Average weekly wage rate,Professional occupations in natural and applied sciences [21],Males,25 to 54 years,1624.74
2018,Ontario,Average weekly wage rate,Professional occupations in natural and applied sciences [21],Males,25 to 54 years,1655.21
2019,Ontario,Average weekly wage rate,Professional occupations in natural and applied sciences [21],Males,25 to 54 years,1688.44
2020,Ontario,Average weekly wage rate,Professional occupations in natural and applied sciences [21],Males,25 to 54 years,1721.47
2021,Ontario,Average weekly wage rate,Professional occupations in natural and applied sciences [21],Males,25 to 54 years,1795.2
