index,year,province,product_groups,CPI
0,1996,Ontario,All-items,88.2
1,1997,Ontario,All-items,89.8
2,1998,Ontario,All-items,90.6
3,1999,Ontario,All-items,92.4
4,2000,Ontario,All-items,95.1
5,2001,Ontario,All-items,98
6,2002,Ontario,All-items,100
7,2003,Ontario,All-items,102.7
8,2004,Ontario,All-items,104.6
9,2005,Ontario,All-items,106.9
10,2006,Ontario,All-items,108.8
11,2007,Ontario,All-items,110.8
12,2008,Ontario,All-items,113.3
13,2009,Ontario,All-items,113.7
14,2010,Ontario,All-items,116.5
15,2011,Ontario,All-items,120.1
16,2012,Ontario,All-items,121.8
17,2013,Ontario,All-items,123
18,2014,Ontario,All-items,125.9
19,2015,Ontario,All-items,127.4
20,2016,Ontario,All-items,129.7
21,2017,Ontario,All-items,131.9
22,2018,Ontario,All-items,135
23,2019,Ontario,All-items,137.5
24,2020,Ontario,All-items,138.4
25,1996,Ontario,Food,88.3
26,1997,Ontario,Food,88.6
27,1998,Ontario,Food,89.9
28,1999,Ontario,Food,91.5
29,2000,Ontario,Food,92.8
30,2001,Ontario,Food,97
31,2002,Ontario,Food,100
32,2003,Ontario,Food,101.6
33,2004,Ontario,Food,103.6
34,2005,Ontario,Food,106.7
35,2006,Ontario,Food,109
36,2007,Ontario,Food,111.8
37,2008,Ontario,Food,116
38,2009,Ontario,Food,121.4
39,2010,Ontario,Food,123.2
40,2011,Ontario,Food,128.1
41,2012,Ontario,Food,131
42,2013,Ontario,Food,132.9
43,2014,Ontario,Food,136.2
44,2015,Ontario,Food,141.2
45,2016,Ontario,Food,143.5
46,2017,Ontario,Food,143.3
47,2018,Ontario,Food,147.4
48,2019,Ontario,Food,152.6
49,2020,Ontario,Food,155.5
50,1996,Ontario,Shelter,88.7
51,1997,Ontario,Shelter,88.8
52,1998,Ontario,Shelter,89.4
53,1999,Ontario,Shelter,90.7
54,2000,Ontario,Shelter,93.9
55,2001,Ontario,Shelter,99
56,2002,Ontario,Shelter,100
57,2003,Ontario,Shelter,102.8
58,2004,Ontario,Shelter,105.6
59,2005,Ontario,Shelter,109
60,2006,Ontario,Shelter,112.5
61,2007,Ontario,Shelter,114.4
62,2008,Ontario,Shelter,118.4
63,2009,Ontario,Shelter,118.6
64,2010,Ontario,Shelter,121.3
65,2011,Ontario,Shelter,123.1
66,2012,Ontario,Shelter,125
67,2013,Ontario,Shelter,126.9
68,2014,Ontario,Shelter,131.5
69,2015,Ontario,Shelter,134.5
70,2016,Ontario,Shelter,138.1
71,2017,Ontario,Shelter,140.4
72,2018,Ontario,Shelter,142.7
73,2019,Ontario,Shelter,147
74,2020,Ontario,Shelter,150.1
75,1996,Ontario,"Household operations, furnishings and equipment",93.6
76,1997,Ontario,"Household operations, furnishings and equipment",94.8
77,1998,Ontario,"Household operations, furnishings and equipment",95.2
78,1999,Ontario,"Household operations, furnishings and equipment",95.2
79,2000,Ontario,"Household operations, furnishings and equipment",96.4
80,2001,Ontario,"Household operations, furnishings and equipment",98.6
81,2002,Ontario,"Household operations, furnishings and equipment",100
82,2003,Ontario,"Household operations, furnishings and equipment",101
83,2004,Ontario,"Household operations, furnishings and equipment",101.5
84,2005,Ontario,"Household operations, furnishings and equipment",101.7
85,2006,Ontario,"Household operations, furnishings and equipment",102
86,2007,Ontario,"Household operations, furnishings and equipment",103.3
87,2008,Ontario,"Household operations, furnishings and equipment",105
88,2009,Ontario,"Household operations, furnishings and equipment",107.2
89,2010,Ontario,"Household operations, furnishings and equipment",109.5
90,2011,Ontario,"Household operations, furnishings and equipment",111.9
91,2012,Ontario,"Household operations, furnishings and equipment",113.9
92,2013,Ontario,"Household operations, furnishings and equipment",115.4
93,2014,Ontario,"Household operations, furnishings and equipment",117.8
94,2015,Ontario,"Household operations, furnishings and equipment",121.5
95,2016,Ontario,"Household operations, furnishings and equipment",123.3
96,2017,Ontario,"Household operations, furnishings and equipment",124
97,2018,Ontario,"Household operations, furnishings and equipment",125.8
98,2019,Ontario,"Household operations, furnishings and equipment",125.3
99,2020,Ontario,"Household operations, furnishings and equipment",125.4
100,1996,Ontario,Clothing and footwear,98.5
101,1997,Ontario,Clothing and footwear,99.5
102,1998,Ontario,Clothing and footwear,100
103,1999,Ontario,Clothing and footwear,101.7
104,2000,Ontario,Clothing and footwear,102.2
105,2001,Ontario,Clothing and footwear,101.8
106,2002,Ontario,Clothing and footwear,100
107,2003,Ontario,Clothing and footwear,97.7
108,2004,Ontario,Clothing and footwear,98
109,2005,Ontario,Clothing and footwear,96.2
110,2006,Ontario,Clothing and footwear,93.2
111,2007,Ontario,Clothing and footwear,93.5
112,2008,Ontario,Clothing and footwear,92.2
